date,inst_long,inst_short,total_oi,close,retail_long,retail_short,retail_net,retail_ratio
2021-01-04,87645,88457,115758,14800.0,28113,27301,812,0.7014633977781233
2021-01-05,88523,89453,116134,14645.0,27611,26681,930,0.8007990769283758
2021-01-06,88926,90340,115597,14589.0,26671,25257,1414,1.2232151353408824
2021-01-07,91568,92055,119134,14490.0,27566,27079,487,0.4087833867745564
2021-01-08,93731,96159,119993,-69.0,26262,23834,2428,2.0234513679964663
2021-01-11,94275,99307,122532,15196.0,28257,23225,5032,4.106682336042829
2021-01-12,97511,103562,125984,14749.0,28473,22422,6051,4.802990855981712
2021-01-13,97388,104629,129467,15000.0,32079,24838,7241,5.5929310171703985
2021-01-14,95367,107972,129082,14973.0,33715,21110,12605,9.76511054988302
2021-01-15,91232,100850,122564,15300.0,31332,21714,9618,7.847328742534512
2021-01-18,94765,106073,125879,15292.0,31114,19806,11308,8.983229927152266
2021-01-19,84502,96893,117092,15045.0,32590,20199,12391,10.582277183752947
2021-01-20,72090,76897,118127,-120.0,46037,41230,4807,4.069349090385771
2021-01-21,69714,76709,96361,-77.0,26647,19652,6995,7.259160863834954
2021-01-22,70041,82882,100154,-73.0,30113,17272,12841,12.821255266888992
2021-01-25,71594,85775,102683,15674.0,31089,16908,14181,13.810465218195805
2021-01-26,72099,86742,105468,15388.0,33369,18726,14643,13.883832062805778
2021-01-27,71648,88247,104398,14877.0,32750,16151,16599,15.899729879882758
2021-01-28,71548,89246,105753,-72.0,34205,16507,17698,16.735222641438067
2021-01-29,76052,84575,104934,-73.0,28882,20359,8523,8.122248270341357
2021-02-01,75245,84880,104777,-70.0,29532,19897,9635,9.195720434828255
2021-02-02,75914,83316,105712,14942.0,29798,22396,7402,7.002043287422431
2021-02-03,69927,78779,99325,-80.0,29398,20546,8852,8.912157060156053
2021-02-04,72023,80780,99153,14858.0,27130,18373,8757,8.831805391667423
2021-02-05,73690,83648,98855,-88.0,25165,15207,9958,10.073339740023266
2021-02-17,64663,68441,102287,-47.0,37624,33846,3778,3.693528991954012
2021-02-18,64406,73041,87372,-61.0,22966,14331,8635,9.883028887973264
2021-02-19,63792,71319,87022,16125.0,23230,15703,7527,8.649536898715267
2021-02-22,63166,73729,89818,16190.0,26652,16089,10563,11.76044890779131
2021-02-23,64414,76760,92811,16247.0,28397,16051,12346,13.30230252879508
2021-02-24,62830,78441,95069,15376.0,32239,16628,15611,16.42070496165943
2021-02-25,64307,78536,94472,-84.0,30165,15936,14229,15.061605555085105
2021-02-26,66607,83478,99874,15085.0,33267,16396,16871,16.89228427819052
2021-03-02,69503,82159,100238,15258.0,30735,18079,12656,12.625950238432532
2021-03-03,66204,79080,98115,15516.0,31911,19035,12876,13.123375630637518
2021-03-04,65843,78418,96740,15716.0,30897,18322,12575,12.998759561711804
2021-03-05,65997,81021,97779,15855.0,31782,16758,15024,15.36526247967355
2021-03-08,68121,78130,98021,15621.0,29900,19891,10009,10.211077218147132
2021-03-09,67331,80216,98301,15649.0,30970,18085,12885,13.107699819940793
2021-03-10,65750,76014,95755,15688.0,30005,19741,10264,10.7190225053522
2021-03-11,63764,77996,99054,-63.0,35290,21058,14232,14.36792052819674
2021-03-12,63523,77857,96742,16038.0,33219,18885,14334,14.81672903185793
2021-03-15,66373,81952,100171,15362.0,33798,18219,15579,15.552405386788593
2021-03-16,70076,83510,103184,16114.0,33108,19674,13434,13.01946038145449
2021-03-17,62125,72746,100679,15578.0,38554,27933,10621,10.549369779199237
2021-03-18,62566,73185,89020,15465.0,26454,15835,10619,11.928780049427095
2021-03-19,63352,74488,91014,15441.0,27662,16526,11136,12.235480255784823
2021-03-22,62845,71458,89751,15570.0,26906,18293,8613,9.596550456262326
2021-03-23,63809,71752,90333,15547.0,26524,18581,7943,8.793021376462644
2021-03-24,63176,74074,91699,15983.0,28523,17625,10898,11.884535273012792
2021-03-25,63292,71399,90884,15454.0,27592,19485,8107,8.920161964702258
2021-03-26,67385,72167,95449,15698.0,28064,23282,4782,5.010005343167555
2021-03-29,67296,69684,93778,15822.0,26482,24094,2388,2.546439463413594
2021-03-30,68135,69556,94510,15939.0,26375,24954,1421,1.50354459845519
2021-03-31,65969,69681,92306,-46.0,26337,22625,3712,4.021407059129417
2021-04-01,65790,68396,90749,15969.0,24959,22353,2606,2.8716569879557903
2021-04-06,66734,68406,91848,16158.0,25114,23442,1672,1.8203989199547077
2021-04-07,62701,66969,89455,16199.0,26754,22486,4268,4.77111396791683
2021-04-08,63655,67640,93199,16017.0,29544,25559,3985,4.275796950611058
2021-04-09,61747,68226,90121,15979.0,28374,21895,6479,7.189223377459193
2021-04-12,61211,68383,90188,15976.0,28977,21805,7172,7.9522774648512
2021-04-13,64051,70532,91662,16245.0,27611,21130,6481,7.0705417730357185
2021-04-14,61867,67873,87606,16307.0,25739,19733,6006,6.8556948154236
2021-04-15,61979,66657,89947,16505.0,27968,23290,4678,5.200840494958142
2021-04-16,63790,71568,93197,16594.0,29407,21629,7778,8.345762202646007
2021-04-19,65991,71203,95487,16690.0,29496,24284,5212,5.458334642412057
2021-04-20,66498,74787,96611,17319.0,30113,21824,8289,8.579768349359803
2021-04-21,57194,64432,94058,-93.0,36864,29626,7238,7.695251865869995
2021-04-22,56944,66855,83917,16569.0,26973,17062,9911,11.810479402266525
2021-04-23,57560,68153,86206,16364.0,28646,18053,10593,12.288007795281072
2021-04-26,58306,68678,90731,16979.0,32425,22053,10372,11.43159449361299
2021-04-27,59819,70293,91513,-57.0,31694,21220,10474,11.445368417601872
2021-04-28,57135,69296,89689,16808.0,32554,20393,12161,13.55907636387963
2021-04-29,58437,68874,89660,16840.0,31223,20786,10437,11.640642426946242
2021-05-03,60687,75770,95151,17253.0,34464,19381,15083,15.851646330569306
2021-05-04,61544,80530,97360,16397.0,35816,16830,18986,19.500821692686934
2021-05-05,58378,78825,95410,16214.0,37032,16585,20447,21.430667644900954
2021-05-06,60029,76199,93933,16210.0,33904,17734,16170,17.214397496087635
2021-05-07,58789,75486,95106,17287.0,36317,19620,16697,17.556200450024185
2021-05-10,60067,77555,95642,16661.0,35575,18087,17488,18.28485393446394
2021-05-11,65341,80153,97777,15991.0,32436,17624,14812,15.148756865111427
2021-05-12,67789,78043,92162,15110.0,24373,14119,10254,11.12606063236475
2021-05-13,68251,75714,91012,15023.0,22761,15298,7463,8.200017580099328
2021-05-14,69465,72185,89128,15172.0,19663,16943,2720,3.0517906830625616
2021-05-17,68036,70920,87190,14692.0,19154,16270,2884,3.307718775088887
2021-05-18,71273,75968,93597,15180.0,22324,17629,4695,5.01618641623129
